lat,lng
37.80556,-122.43168
37.78575,-122.42073
37.75649,-122.41894
37.78517,-122.42119
37.78547,-122.40109
37.75689,-122.41896
37.7621,-122.43524
37.76237,-122.43523
37.75632,-122.41894
37.78567,-122.40116
37.74702,-122.41905
37.7699,-122.4222
37.77092,-122.41279
37.78515,-122.42111
37.78967,-122.40534
37.77,-122.42231
37.77023,-122.42238
37.78576,-122.40115
37.77005,-122.42249
37.78551,-122.40007
37.78516,-122.43301
37.80526,-122.43226
37.76216,-122.4352
37.78803,-122.39674
37.78776,-122.39682
37.78525,-122.43268
37.77024,-122.46683
37.80528,-122.43222
37.76021,-122.41375
37.76761,-122.40672
37.75609,-122.41881
37.7755,-122.43787
37.76175,-122.43505
37.78558,-122.40111
37.76744,-122.40669
37.7471,-122.41904
37.78511,-122.42116
37.74675,-122.41931
37.78462,-122.42107
37.78529,-122.43251
37.80452,-122.40275
37.77564,-122.43789
37.75637,-122.41889
37.75629,-122.41891
37.7623,-122.43519
37.76009,-122.41364
37.78501,-122.42118
37.77003,-122.42239
37.76769,-122.40684
37.78519,-122.43276
37.75694,-122.41897
37.78516,-122.43269
37.77939,-122.41502
37.78459,-122.41775
37.74667,-122.4193
37.76914,-122.4201
37.75655,-122.41885
37.7603,-122.4137
37.77019,-122.46683
37.78507,-122.42112
37.76203,-122.43525
37.76869,-122.41996
37.77028,-122.42253
37.75661,-122.41887
37.77881,-122.41521
37.77103,-122.41289
37.76636,-122.46618
37.77535,-122.43782
37.75637,-122.41892
37.78527,-122.43128
37.78567,-122.40115
37.78549,-122.40098
37.78375,-122.42083
37.80037,-122.39844
37.75702,-122.4191
37.7855,-122.40093
37.75616,-122.41886
37.75671,-122.41897
37.76026,-122.41375
37.78532,-122.4321
37.80059,-122.39856
37.78548,-122.40098
37.7848,-122.42138
37.76757,-122.40665
37.77013,-122.42247
37.78524,-122.42114
37.77104,-122.41296
37.76769,-122.40675
37.76006,-122.41371
37.76748,-122.40669
37.76015,-122.4137
37.77594,-122.43782
37.74677,-122.41926
37.76916,-122.42003
37.74651,-122.41925
37.77315,-122.43239
37.76019,-122.41373
37.76028,-122.41377
37.7563,-122.41895
37.76215,-122.4352
37.76177,-122.43508
37.7563,-122.4189
37.78558,-122.40102
37.7835,-122.42081
37.78512,-122.43291
37.77529,-122.43783
37.78505,-122.42113
37.75687,-122.41895
37.77849,-122.41502
37.76027,-122.41378
37.75623,-122.4189
37.78548,-122.42144
37.7859,-122.4015
37.75902,-122.43488
37.80052,-122.39854
37.77011,-122.42227
37.7563,-122.41891
37.7852,-122.42116
37.78511,-122.42114
37.76214,-122.43522
37.77541,-122.43782
37.77099,-122.41305
37.78724,-122.40068
37.80638,-122.43184
37.75622,-122.4189
37.76212,-122.43524
37.76752,-122.40679
37.78502,-122.42111
37.80072,-122.39879
37.76906,-122.46543
37.78519,-122.43267
37.77495,-122.43809
37.78515,-122.43268
37.78248,-122.41077
37.78478,-122.42098
37.78102,-122.41945
37.77098,-122.41289
37.7567,-122.41888
37.77001,-122.42235
37.76138,-122.43505
37.78499,-122.42114
37.76182,-122.43505
37.80496,-122.43358
37.78384,-122.42135
37.75679,-122.41896
37.77564,-122.43782
37.75627,-122.41893
37.77091,-122.41286
37.80064,-122.39858
37.76073,-122.41277
37.75622,-122.4189
37.80544,-122.4321
37.7796,-122.41388
37.76212,-122.43522
37.76901,-122.42002
37.77102,-122.41296
37.78804,-122.39676
37.77002,-122.42238
37.77923,-122.41419
37.80045,-122.39855
37.75632,-122.41886
37.77035,-122.4225
37.76009,-122.41374
37.78517,-122.40042
37.77884,-122.41516
37.76237,-122.43527
37.78516,-122.42113
37.75657,-122.41884
37.80071,-122.39878
37.77767,-122.41292
37.76211,-122.43521
37.79124,-122.41618
37.78504,-122.4211
37.78553,-122.39984
37.76006,-122.4138
37.76817,-122.40674
37.78523,-122.43276
37.76016,-122.41376
37.78502,-122.42109
37.78507,-122.42115
37.77086,-122.41277
37.76197,-122.43509
37.76011,-122.41379
37.78533,-122.43215
37.75679,-122.419
37.76211,-122.43521
37.78516,-122.43295
37.78778,-122.39696
37.78448,-122.39974
37.78576,-122.40125
37.78513,-122.43262
37.78662,-122.39947
37.78534,-122.4212
37.76887,-122.42004
37.75617,-122.41887
37.77004,-122.46709
37.75622,-122.41887
37.80058,-122.3986
37.7844,-122.3997
37.76902,-122.42012
37.80513,-122.43357
37.77556,-122.43791
37.78545,-122.40026
37.75631,-122.41881
37.78509,-122.4212
37.78504,-122.43301
37.77093,-122.41279
37.78525,-122.43241
37.78513,-122.43286
37.75668,-122.41887
37.75622,-122.41881
37.80542,-122.43243
37.78651,-122.39943
37.77087,-122.41273
37.74671,-122.4193
37.75524,-122.4187
37.78555,-122.40096
37.80551,-122.43159
37.78525,-122.42115
37.7756,-122.43787
37.80548,-122.43221
37.75657,-122.41892
37.78577,-122.40143
37.76237,-122.43571
37.76019,-122.4137
37.78563,-122.40111
37.76502,-122.39061
37.78478,-122.42115
37.75666,-122.41894
37.77562,-122.43789
37.78516,-122.43254
37.78063,-122.41265
37.76061,-122.41392
37.77007,-122.42232
37.78518,-122.43269
37.78458,-122.39985
37.78554,-122.40111
37.76792,-122.46683
37.7702,-122.46687
37.76024,-122.41375
37.78527,-122.42119
37.78797,-122.39688
37.78497,-122.40026
37.75648,-122.41892
37.78516,-122.43267
37.78517,-122.43267
37.78509,-122.42127
37.77549,-122.43788
37.78516,-122.4213
37.75647,-122.41889
37.78531,-122.42116
37.7853,-122.42121
37.77547,-122.43786
37.78505,-122.42109
37.74664,-122.41921
37.78578,-122.40123
37.75626,-122.41892
37.78518,-122.43295
37.76025,-122.41376
37.76733,-122.40669
37.77885,-122.41448
37.76912,-122.42001
37.75659,-122.41896
37.7691,-122.41996
37.78515,-122.43274
37.80128,-122.39926
37.77009,-122.42256
37.74693,-122.41912
37.76001,-122.41355
37.80066,-122.39872
37.78529,-122.42117
37.75664,-122.41901
37.78522,-122.40028
37.80735,-122.43017
37.78528,-122.43254
37.77329,-122.46579
37.76173,-122.43512
37.75656,-122.41895
37.75617,-122.41888
37.80617,-122.43189
37.75624,-122.41892
37.76056,-122.4137
37.75696,-122.41897
37.75626,-122.41889
37.77003,-122.42232
37.75666,-122.41894
37.78802,-122.39668
37.77135,-122.41345
37.77017,-122.46685
37.75633,-122.4189
37.75627,-122.41887
37.76008,-122.41279
37.75672,-122.41897
37.78537,-122.40088
37.78501,-122.42112
37.78508,-122.42112
37.776,-122.43786
37.7623,-122.43524
37.80717,-122.43065
37.78501,-122.42138
37.78588,-122.40139
37.76214,-122.43518
37.78526,-122.43269
37.75652,-122.41893
37.76197,-122.43511
37.75668,-122.41898
37.78568,-122.40124
37.80515,-122.43334
37.78178,-122.40158
37.78519,-122.43251
37.76213,-122.43525
37.78525,-122.43269
37.78523,-122.4327
37.77093,-122.41287
37.77005,-122.46708
37.75623,-122.41889
37.75637,-122.4189
37.78504,-122.42121
37.78551,-122.40108
37.77506,-122.43761
37.77539,-122.43787
37.76997,-122.42225
37.76737,-122.40667
37.77001,-122.42176
37.78796,-122.3969
37.77097,-122.41292
37.77904,-122.41426
37.77087,-122.41278
37.76908,-122.41992
37.7701,-122.42233
37.77548,-122.43787
37.76736,-122.40672
37.80487,-122.4324
37.80501,-122.43199
37.78588,-122.40125
37.75676,-122.41894
37.75619,-122.41882
37.75627,-122.41888
37.78778,-122.39705
37.77005,-122.42243
37.77092,-122.41282
37.76728,-122.40668
37.76232,-122.43521
37.8069,-122.43103
37.78515,-122.42124
37.78526,-122.42112
37.77,-122.42234
37.76743,-122.40673
37.78527,-122.43252
37.78617,-122.43327
37.80485,-122.43267
37.78449,-122.42103
37.76005,-122.41373
37.78551,-122.40103
37.77059,-122.41269
37.77007,-122.46699
37.75631,-122.4189
37.7855,-122.40095
37.78528,-122.43257
37.75629,-122.41895
37.75525,-122.41867
37.78524,-122.43282
37.75589,-122.41879
37.757,-122.41908
37.80551,-122.4316
37.77007,-122.42249
37.77009,-122.42251
37.75618,-122.41886
37.78524,-122.40037
37.75655,-122.41894
37.76904,-122.41999
37.7792,-122.41417
37.75637,-122.41884
37.76211,-122.43527
37.76021,-122.41375
37.78509,-122.42122
37.78551,-122.40099
37.78519,-122.43284
37.78506,-122.42113
37.78512,-122.42113
37.7562,-122.41882
37.78788,-122.39696
37.77005,-122.46701
37.78581,-122.39953
37.76017,-122.41371
37.7853,-122.40069
37.7705,-122.46646
37.77086,-122.41287
37.75645,-122.41894
37.77561,-122.43788
37.77005,-122.42248
37.75636,-122.41878
37.788,-122.39717
37.7851,-122.42116
37.78529,-122.43262
37.80075,-122.39881
37.76996,-122.42225
37.77554,-122.43785
37.7794,-122.41393
37.7792,-122.41495
37.74694,-122.4191
37.75648,-122.41892
37.75559,-122.41871
37.76761,-122.40672
37.74722,-122.41896
37.7702,-122.46687
37.77548,-122.43786
37.78528,-122.43255
37.75628,-122.41887
37.77894,-122.41504
37.78548,-122.40094
37.78519,-122.43272
37.78579,-122.4014
37.74679,-122.41895
37.77924,-122.4142
37.77118,-122.41307
37.80513,-122.43354
37.75626,-122.41889
37.77489,-122.4377
37.77507,-122.43735
37.76215,-122.43523
37.76755,-122.40675
37.76982,-122.42386
37.77143,-122.41357
37.77931,-122.414
37.75627,-122.4189
37.80529,-122.4323
37.76907,-122.41962
37.76232,-122.43523
37.77818,-122.41544
37.80073,-122.39879
37.77006,-122.46701
37.77937,-122.41403
37.76013,-122.41374
37.75619,-122.41895
37.78532,-122.4212
37.76907,-122.41958
37.78562,-122.40111
37.78518,-122.42104
37.77004,-122.46704
37.78552,-122.40096
37.78575,-122.4013
37.77514,-122.43786
37.7766,-122.42473
37.76994,-122.4673
37.76988,-122.42211
37.80049,-122.39855
37.76214,-122.43517
37.78506,-122.42116
37.78031,-122.41241
37.78809,-122.39662
37.78571,-122.4013
37.76908,-122.41994
37.76207,-122.43517
37.78799,-122.39679
37.76778,-122.40678
37.76022,-122.41372
37.76906,-122.41998
37.78779,-122.39699
37.78524,-122.43297
37.78508,-122.42111
37.75629,-122.41892
37.76752,-122.40673
37.77094,-122.4128
37.78515,-122.42118
37.78098,-122.41322
37.78518,-122.43262
37.7674,-122.40669
37.77921,-122.41418
37.78555,-122.40107
37.80523,-122.43202
37.78513,-122.43274
37.75661,-122.41894
37.78596,-122.4016
37.77543,-122.43787
37.78548,-122.40102
37.75562,-122.41884
37.77019,-122.46686
37.75629,-122.41889
37.80058,-122.39862
37.77021,-122.46684
37.78566,-122.40114
37.77012,-122.46692
37.76879,-122.42008
37.78501,-122.42111
37.76759,-122.40675
37.78523,-122.42113
37.78798,-122.39689
37.75623,-122.41889
37.78554,-122.40099
37.76203,-122.43518
37.74656,-122.41941
37.7853,-122.43253
37.78581,-122.40135
37.76038,-122.4137
37.8053,-122.43225
37.78528,-122.43254
37.78661,-122.39831
37.76026,-122.41375
37.78519,-122.43268
37.74656,-122.41921
37.8052,-122.42843
37.78748,-122.39735
37.77888,-122.41547
37.80084,-122.39886
37.75627,-122.41889
37.7701,-122.42237
37.75673,-122.41892
37.80142,-122.39936
37.75627,-122.41897
37.78605,-122.40132
37.76911,-122.42007
37.78518,-122.43278
37.76769,-122.40672
37.76008,-122.41374
37.78944,-122.43229
37.78553,-122.401
37.76007,-122.41373
37.78532,-122.42119
37.7689,-122.42
37.76022,-122.41377
37.78608,-122.42143
37.74675,-122.41896
37.78508,-122.42117
37.77106,-122.41288
37.7617,-122.43506
37.8006,-122.3986
37.77928,-122.41417
37.77883,-122.41458
37.75715,-122.41905
37.77053,-122.4664
37.77959,-122.41504
37.76029,-122.41378
37.75645,-122.4189
37.80697,-122.42852
37.80479,-122.43224
37.80539,-122.43232
37.78769,-122.39714
37.77532,-122.43783
37.75674,-122.41898
37.75687,-122.41896
37.79405,-122.42201
37.75619,-122.41887
37.76909,-122.41972
37.78528,-122.43258
37.76767,-122.42919
37.78513,-122.42119
37.75658,-122.41894
37.74693,-122.41892
37.77551,-122.43787
37.75677,-122.41895
37.77101,-122.41284
37.77096,-122.41283
37.78501,-122.42141
37.76869,-122.41999
37.7849,-122.4003
37.77094,-122.41279
37.78438,-122.42103
37.75611,-122.4189
37.77109,-122.41296
37.78505,-122.42111
37.80526,-122.43241
37.80725,-122.43029
37.80642,-122.43153
