lat,lng
37.80556,-122.43168
37.78575,-122.42073
37.75649,-122.41894
37.78517,-122.42119
37.78547,-122.40109
37.75689,-122.41896
37.7621,-122.43524
37.76237,-122.43523
37.75632,-122.41894
37.78567,-122.40116
37.74702,-122.41905
37.7699,-122.4222
37.77092,-122.41279
37.78515,-122.42111
37.78967,-122.40534
37.77,-122.42231
37.77023,-122.42238
37.78576,-122.40115
37.77005,-122.42249
37.78551,-122.40007
37.78516,-122.43301
37.80526,-122.43226
37.76216,-122.4352
37.78803,-122.39674
37.78776,-122.39682
37.78525,-122.43268
37.77024,-122.46683
37.80528,-122.43222
37.76021,-122.41375
37.84407,-122.25157
37.76761,-122.40672
37.75609,-122.41881
37.7755,-122.43787
37.76175,-122.43505
37.78558,-122.40111
37.74491,-122.42057
37.76744,-122.40669
37.7471,-122.41904
37.78511,-122.42116
37.74675,-122.41931
37.78462,-122.42107
37.78529,-122.43251
37.80452,-122.40275
37.77564,-122.43789
37.75637,-122.41889
37.75629,-122.41891
37.7623,-122.43519
37.76009,-122.41364
37.78501,-122.42118
37.77003,-122.42239
